traj_id,url,clearance,smoothness,path_length,max_acc,maxmin_joint_limit_distance,elbow_length,elbow_smoothness,elbow_max_curvature,elbow_lin_acc,elbow_quat_dist,tool_length,tool_smoothness,tool_max_curvature,tool_lin_acc,tool_quat_dist,wrist_length,wrist_smoothness,wrist_max_curvature,wrist_lin_acc,wrist_quat_dist,h_wrist_bfs,h_bfs_wrist,H_wrist_bfs,imh_wrist_bfs,h_elbow_bfs,h_bfs_elbow,H_elbow_bfs,imh_elbow_bfs,h_tool_bfs,h_bfs_tool,H_tool_bfs,imh_tool_bfs,h_wrist_elbow,h_elbow_wrist,H_wrist_elbow,imh_wrist_elbow,wrist_bfs_dtw,tool_bfs_dtw,elbow_bfs_dtw,wrist_tool_dtw
2014_Sep_17_18_39_49,http://www.youtube.com/watch?v=FfC5DWO5Kf8,0.0270727,0.90513,12.3643,0.698727,0.346661,0.524235,1.9278,0.722596,0.713147,4.77954,2.27329,1.49247,0.727332,9.45517,5.53969,1.46908,1.49682,0.620158,4.472,5.53969,0.459299,0.341903,0.459299,0.294849,0.342414,0.471259,0.471259,0.263784,0.606134,0.43579,0.606134,0.347555,0.321,0.321,0.321,0.311706,16.3509,20.2712,16.3693,8.64
2014_Sep_17_18_39_50,http://www.youtube.com/watch?v=dUUA_WMLNBo,0.0651313,0.3287,15.8242,0.874674,0.499153,1.16054,0.43657,0.623656,0.583391,5.62106,2.5334,0.851975,0.87798,2.20068,7.67779,2.14798,1.02778,0.935969,2.10553,7.67779,0.581379,0.342663,0.581379,0.354771,0.53869,0.471436,0.53869,0.349363,0.625291,0.429679,0.625291,0.39153,0.321,0.287853,0.321,0.277573,24.7758,26.8595,29.5845,11.0796
2014_Sep_17_18_39_51,http://www.youtube.com/watch?v=f2rlDPGo5D8,0.0661161,0.877167,14.9448,0.726189,0.499492,1.20576,1.17885,6.37712,2.09317,4.36579,2.78335,1.28354,1.451,8.64688,7.58096,2.07791,1.05701,0.940522,3.56691,7.58096,0.494154,0.237221,0.494154,0.241535,0.366067,0.448426,0.448426,0.204081,0.596626,0.287032,0.596626,0.318928,0.321,0.321,0.321,0.277185,22.3269,28.767,21.4675,14.7061
2014_Sep_17_18_39_52,http://www.youtube.com/watch?v=aPR5Qh956j4,0.0922045,0.595125,27.9053,1.26274,0.493561,1.15288,0.515694,0.687488,0.722878,5.81188,3.06403,0.662107,1.08962,9.89572,14.7392,1.98449,0.665497,1.26309,2.49288,14.7392,0.558583,0.308575,0.558583,0.331877,0.518646,0.411406,0.518646,0.392017,0.594117,0.352013,0.594117,0.316539,0.321,0.321,0.321,0.2121,44.9638,48.8539,50.7522,18.9348
2014_Sep_17_18_39_53,http://www.youtube.com/watch?v=5n8t3wThAbg,0.0514609,0.771537,20.0204,2.40085,0.498532,0.952108,1.07744,0.554275,1.5194,5.43513,1.91918,0.842951,2.25676,3.95905,8.17936,1.59698,0.727087,1.13196,2.13299,8.17936,0.535997,0.217428,0.535997,0.21482,0.540559,0.411406,0.540559,0.397011,0.557161,0.305877,0.557161,0.145982,0.321,0.321,0.321,0.220226,17.3844,14.6494,36.5596,14.04
2014_Sep_17_18_39_54,http://www.youtube.com/watch?v=BFzhrEmlF4s,0.0823667,0.321867,6.18705,0.712782,0.487513,0.488782,0.363395,0.511436,1.60246,1.8532,1.27054,0.877728,0.708849,8.57292,2.61781,0.929582,0.751873,0.706519,5.02605,2.61781,0.496692,0.29962,0.496692,0.325803,0.448952,0.411406,0.448952,0.425705,0.475657,0.348925,0.475657,0.273732,0.321,0.321,0.321,0.257542,9.13292,9.44468,10.8485,4.28262
2014_Sep_17_18_39_55,http://www.youtube.com/watch?v=dSs5cEMCWZs,0.0757681,0.0640625,12.1179,0.761029,0.499865,0.688678,0.783156,0.612259,1.53787,2.09998,1.0898,0.521891,1.5775,1.97962,2.89981,0.920049,0.460922,0.626101,1.69734,2.89981,0.515199,0.296622,0.515199,0.32444,0.578607,0.411406,0.578607,0.480138,0.407035,0.330554,0.407035,0.21496,0.321,0.321,0.321,0.186076,16.2534,13.7956,24.7348,7.08116
2014_Sep_17_18_39_56,http://www.youtube.com/watch?v=9ogGYrtMQZU,0.0357092,0.301247,13.3361,0.38709,0.476366,0.915417,1.59329,0.606408,1.81392,4.64768,1.73871,0.88045,0.611655,5.41244,7.12506,1.2348,0.758378,1.38996,3.26172,7.12506,0.436604,0.29944,0.436604,0.322899,0.420131,0.431157,0.431157,0.190819,0.480508,0.194342,0.480508,0.251384,0.321,0.321,0.321,0.250875,21.0806,15.9537,15.0868,9.00252
2014_Sep_17_18_39_57,http://www.youtube.com/watch?v=52u9f6unLoE,0.0348524,0.576838,12.6966,1.8919,0.491965,0.284453,0.390461,0.63103,0.233594,3.06077,1.48657,0.35948,0.752139,9.07487,8.79486,1.00301,0.178442,0.611708,2.39762,8.79486,0.508818,0.259023,0.508818,0.361897,0.416194,0.437928,0.437928,0.386881,0.527071,0.26662,0.527071,0.354858,0.321,0.321,0.321,0.275357,18.5428,19.9942,20.945,8.61982
2014_Sep_17_18_39_58,http://www.youtube.com/watch?v=xjNjQ9iKxfQ,0.0753643,0.478173,13.473,1.06375,0.493166,0.500679,0.569934,0.519693,0.450444,5.2491,2.33457,0.598879,0.708473,4.54661,6.58744,1.68285,0.486975,0.561587,2.72836,6.58744,0.715931,0.256752,0.715931,0.50138,0.463968,0.438105,0.463968,0.402296,0.862861,0.266464,0.862861,0.511383,0.321,0.321,0.321,0.290294,27.3048,28.8308,22.7388,9.18368
