lower1,upper1,lower2,upper2,lower3,upper3,opt1,opt2,opt3,testurl,video,start_img,goal_img
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Green,Red,T8QI5XaWgv8,//www.youtube.com/embed/vp9QSAX0Q9w,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_18,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_18
inefficient,efficient,awkward,elegant,rough,smooth,Green,Red,Yellow,tqYf6MTJIMc,//www.youtube.com/embed/Am201u4Ru5c,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_19,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_19
inefficient,efficient,awkward,elegant,rough,smooth,Red,Yellow,Green,tRkt7z0ZLt0,//www.youtube.com/embed/xnnGiKtl4us,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_20,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_20
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,FgEz58e_OFM,//www.youtube.com/embed/xPH5ut3lPYs,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_21,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_21
inefficient,efficient,awkward,elegant,rough,smooth,Green,Red,Yellow,jt4ebTigrVA,//www.youtube.com/embed/9sIZEtelkA4,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_22,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_22
inefficient,efficient,awkward,elegant,rough,smooth,Green,Yellow,Red,muGtZHG-qM4,//www.youtube.com/embed/uoyDa8pqSxU,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_23,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_23
inefficient,efficient,awkward,elegant,rough,smooth,Green,Red,Yellow,dWciRDwMwvw,//www.youtube.com/embed/7zk8K4YgZto,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_24,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_24
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,2axQHVILUHY,//www.youtube.com/embed/xvz9LplSZ9w,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_25,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_25
inefficient,efficient,awkward,elegant,rough,smooth,Green,Red,Yellow,m9DXqUFDj4s,//www.youtube.com/embed/Cxqyop66foo,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_26,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_26
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,gTy_nWfR5AM,//www.youtube.com/embed/GkhKIkFQZfE,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_27,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_27
inefficient,efficient,awkward,elegant,rough,smooth,Green,Red,Yellow,Bk7C6sNLLmo,//www.youtube.com/embed/robHwWU6zXA,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_28,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_28
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,T8QI5XaWgv8,//www.youtube.com/embed/t7IBHY1VHyA,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_29,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_29
inefficient,efficient,awkward,elegant,rough,smooth,Red,Yellow,Green,muGtZHG-qM4,//www.youtube.com/embed/G59jaDqGKqc,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_30,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_30
inefficient,efficient,awkward,elegant,rough,smooth,Red,Yellow,Green,tqYf6MTJIMc,//www.youtube.com/embed/Nw4veSupc2Y,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_31,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_31
inefficient,efficient,awkward,elegant,rough,smooth,Green,Red,Yellow,Bk7C6sNLLmo,//www.youtube.com/embed/g6jWC0lhiPk,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_32,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_32
inefficient,efficient,awkward,elegant,rough,smooth,Red,Green,Yellow,m9DXqUFDj4s,//www.youtube.com/embed/uYhftRE_J3Y,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_33,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_33
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,2axQHVILUHY,//www.youtube.com/embed/KWuqd-rmaQY,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_34,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_34
inefficient,efficient,awkward,elegant,rough,smooth,Red,Yellow,Green,FgEz58e_OFM,//www.youtube.com/embed/03d1IeU5epQ,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_35,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_35
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Green,Red,53J8ozTe02I,//www.youtube.com/embed/VWQGbZfcVUU,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_36,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_36
inefficient,efficient,awkward,elegant,rough,smooth,Red,Yellow,Green,jt4ebTigrVA,//www.youtube.com/embed/OcOhThF_Vsg,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_37,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_37
inefficient,efficient,awkward,elegant,rough,smooth,Red,Yellow,Green,tRkt7z0ZLt0,//www.youtube.com/embed/SXiOO3wQsrs,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_38,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_38
inefficient,efficient,awkward,elegant,rough,smooth,Red,Green,Yellow,gTy_nWfR5AM,//www.youtube.com/embed/yzfdSrGLBKE,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_39,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_39
inefficient,efficient,awkward,elegant,rough,smooth,Green,Red,Yellow,dWciRDwMwvw,//www.youtube.com/embed/AEwDz3W5PgE,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_40,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_40
inefficient,efficient,awkward,elegant,rough,smooth,Green,Red,Yellow,2axQHVILUHY,//www.youtube.com/embed/-MjKbUecZiU,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_41,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_41
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,tqYf6MTJIMc,//www.youtube.com/embed/Mc8jQ-LMIBY,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_42,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_42
inefficient,efficient,awkward,elegant,rough,smooth,Red,Green,Yellow,Bk7C6sNLLmo,//www.youtube.com/embed/lbUG13Qiy3I,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_43,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_43
inefficient,efficient,awkward,elegant,rough,smooth,Red,Green,Yellow,tRkt7z0ZLt0,//www.youtube.com/embed/dQ2oBy9t0lE,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_44,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_44
inefficient,efficient,awkward,elegant,rough,smooth,Green,Red,Yellow,gTy_nWfR5AM,//www.youtube.com/embed/XJQlDSNafWk,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_45,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_45
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,T8QI5XaWgv8,//www.youtube.com/embed/eF_66Ed5frQ,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_46,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_46
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,muGtZHG-qM4,//www.youtube.com/embed/HYs2JUosG28,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_47,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_47
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,FgEz58e_OFM,//www.youtube.com/embed/KnPJ8aCmJBE,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_48,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_48
inefficient,efficient,awkward,elegant,rough,smooth,Green,Red,Yellow,jt4ebTigrVA,//www.youtube.com/embed/FfC5DWO5Kf8,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_39_49,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_39_49
