lower1,upper1,lower2,upper2,lower3,upper3,opt1,opt2,opt3,testurl,video,start_img,goal_img
inefficient,efficient,awkward,elegant,rough,smooth,Red,Green,Yellow,Bk7C6sNLLmo,//www.youtube.com/embed/_k3CawUIV40,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_40_06,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_40_06
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,tqYf6MTJIMc,//www.youtube.com/embed/JC9pWPX2ovc,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_40_07,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_40_07
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Green,Red,53J8ozTe02I,//www.youtube.com/embed/tPAOYXQaF2g,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_40_08,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_40_08
inefficient,efficient,awkward,elegant,rough,smooth,Green,Red,Yellow,FgEz58e_OFM,//www.youtube.com/embed/BedTY1Ghn3g,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_40_09,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_40_09
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,m9DXqUFDj4s,//www.youtube.com/embed/T2Wwnqo7EUA,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_40_10,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_40_10
inefficient,efficient,awkward,elegant,rough,smooth,Red,Green,Yellow,muGtZHG-qM4,//www.youtube.com/embed/bJCNu9jLXrs,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_40_11,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_40_11
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,dWciRDwMwvw,//www.youtube.com/embed/cCdiuSi-nd4,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_40_12,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_40_12
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,jt4ebTigrVA,//www.youtube.com/embed/iqg-X16vWEg,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_40_13,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_40_13
inefficient,efficient,awkward,elegant,rough,smooth,Green,Yellow,Red,2axQHVILUHY,//www.youtube.com/embed/cp9MhJMMNEM,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_40_14,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_40_14
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Green,Red,tRkt7z0ZLt0,//www.youtube.com/embed/wk1hxQcKpp0,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_40_15,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_40_15
inefficient,efficient,awkward,elegant,rough,smooth,Red,Green,Yellow,T8QI5XaWgv8,//www.youtube.com/embed/luwSMu2K41M,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_40_16,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_40_16
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,Bk7C6sNLLmo,//www.youtube.com/embed/bTvwQQ4iAGs,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_40_17,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_40_17
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,tRkt7z0ZLt0,//www.youtube.com/embed/3x7TDLkO_BQ,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_40_18,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_40_18
inefficient,efficient,awkward,elegant,rough,smooth,Green,Yellow,Red,tqYf6MTJIMc,//www.youtube.com/embed/RFfHsCnvI08,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_40_19,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_40_19
inefficient,efficient,awkward,elegant,rough,smooth,Green,Yellow,Red,muGtZHG-qM4,//www.youtube.com/embed/J9igqZE8sg0,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_40_20,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_40_20
inefficient,efficient,awkward,elegant,rough,smooth,Green,Red,Yellow,m9DXqUFDj4s,//www.youtube.com/embed/8HSj_Y94Ai0,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_40_21,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_40_21
inefficient,efficient,awkward,elegant,rough,smooth,Yellow,Red,Green,FgEz58e_OFM,//www.youtube.com/embed/iVf57XlPQMk,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_40_22,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_40_22
inefficient,efficient,awkward,elegant,rough,smooth,Green,Red,Yellow,jt4ebTigrVA,//www.youtube.com/embed/3gVMN3Uiy60,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Sep_17_18_40_23,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Sep_17_18_40_23
