traj_id,url,smoothness,path_length,max_acc,r_wrist_roll_link_length,r_wrist_roll_link_smoothness,r_wrist_roll_link_max_curvature,r_wrist_roll_link_h_traj_line,r_wrist_roll_link_h_line_traj,r_wrist_roll_link_H_traj_line,r_wrist_roll_link_imh_traj_line,r_wrist_roll_link_DTW,r_wrist_roll_link_lin_acc,r_elbow_flex_link_length,r_elbow_flex_link_smoothness,r_elbow_flex_link_max_curvature,r_elbow_flex_link_h_traj_line,r_elbow_flex_link_h_line_traj,r_elbow_flex_link_H_traj_line,r_elbow_flex_link_imh_traj_line,r_elbow_flex_link_DTW,r_elbow_flex_link_lin_acc,maxmin_joint_limit_distance
2014_Sep_17_18_39_09,http://www.youtube.com/watch?v=TvDwbB-NIiA,0.617191,8.06418,0.426311,1.10991,0.632276,0.827129,2.67462,2.69935,2.69935,2.56872,0.900592,3.23263,0.559101,0.420058,0.624335,2.46333,2.57293,2.57293,2.37874,0.902942,0.625268,0.419343
2014_Sep_17_18_39_10,http://www.youtube.com/watch?v=GcafoheCmyg,0.530222,6.98724,0.0867305,1.56465,0.884621,0.972113,2.83592,2.69972,2.83592,2.67803,0.891696,3.1218,0.863376,0.798571,0.602266,2.53045,2.57305,2.57305,2.43707,0.903975,0.697563,0.419343
2014_Sep_17_18_39_11,http://www.youtube.com/watch?v=vd4PTPjkq9g,0.171033,12.8218,0.382592,2.02251,0.311707,1.23564,2.37048,2.23869,2.37048,2.21238,0.848331,2.50043,1.0593,0.775609,0.611107,2.28268,2.29953,2.29953,2.1323,0.845278,0.691527,0.496342
2014_Sep_17_18_39_12,http://www.youtube.com/watch?v=XywZg1ijpDU,0.567861,6.24886,0.174933,1.16831,1.12676,0.807853,2.25374,2.23932,2.25374,2.132,0.839723,2.85052,0.472158,0.877372,0.49718,2.08176,2.29966,2.29966,2.0038,0.843017,0.572876,0.497148
2014_Sep_17_18_39_13,http://www.youtube.com/watch?v=H_efc6vJVM8,0.583563,7.51716,0.167725,1.10858,0.804885,0.682366,2.23734,2.23852,2.23852,2.02983,0.803219,3.08917,0.443033,0.962074,0.564577,2.10299,2.29953,2.29953,2.01234,0.836687,0.78753,0.497544
2014_Sep_17_18_39_14,http://www.youtube.com/watch?v=PaJVc0fO8f4,0.797893,11.4466,0.33167,0.969029,1.43824,0.68273,2.62466,2.64524,2.64524,2.5447,0.913862,2.33756,0.828852,0.940365,0.620227,2.54649,2.50209,2.54649,2.46075,0.916421,0.77461,0.499343
2014_Sep_17_18_39_15,http://www.youtube.com/watch?v=3dBNLQKlyUk,0.449842,7.99077,0.441755,0.936984,0.450604,1.02616,2.76287,2.64595,2.76287,2.67589,0.908989,1.92346,0.550578,0.315825,0.62524,2.53052,2.50249,2.53052,2.46932,0.916413,0.624855,0.49926
2014_Sep_17_18_39_16,http://www.youtube.com/watch?v=fVFsv7uBux4,0.533005,10.0591,0.282703,1.04699,0.702019,0.617735,2.67106,2.64506,2.67106,2.6184,0.92164,1.64894,0.582924,0.658095,0.618357,2.52734,2.50211,2.52734,2.43259,0.907111,0.455377,0.419343
2014_Sep_17_18_39_17,http://www.youtube.com/watch?v=-ZxivkfFkYA,0.577336,37.3132,0.930859,3.85383,0.704741,1.06354,2.7237,1.8304,2.7237,2.06607,0.811177,3.1576,2.01573,0.602941,0.613439,2.442,2.13236,2.442,2.07402,0.888373,0.844526,0.497331
2014_Sep_17_18_39_18,http://www.youtube.com/watch?v=vp9QSAX0Q9w,0.382935,11.8108,0.505782,1.07134,0.687557,0.791688,2.47675,2.42115,2.47675,2.30836,0.976453,3.45789,0.467473,0.884273,0.515719,2.28733,2.49148,2.49148,2.22851,0.934206,0.668698,0.499536
2014_Sep_17_18_39_19,http://www.youtube.com/watch?v=Am201u4Ru5c,0.525043,8.4549,0.162083,0.931601,0.967319,1.09406,2.55002,2.4216,2.55002,2.3948,0.979169,0.821433,0.614474,1.0302,0.617143,2.39241,2.49256,2.49256,2.30966,0.96278,0.325991,0.497414
2014_Sep_17_18_39_20,http://www.youtube.com/watch?v=xnnGiKtl4us,0.0941964,11.161,0.929691,0.682947,0.229047,0.828563,2.21947,2.22195,2.22195,2.02612,1.01781,3.46269,0.436598,0.24033,0.453823,2.13822,2.39494,2.39494,2.05743,0.948771,0.770026,0.477031
2014_Sep_17_18_39_21,http://www.youtube.com/watch?v=xPH5ut3lPYs,0.576875,8.38087,0.10601,1.39809,0.985388,0.805411,2.34049,2.22195,2.34049,2.13987,0.996164,2.39825,0.494802,1.06554,0.604541,2.17467,2.39494,2.39494,2.08019,0.941349,0.255632,0.462495
2014_Sep_17_18_39_22,http://www.youtube.com/watch?v=9sIZEtelkA4,0.639102,6.11531,0.2602,0.730588,0.566778,0.869431,2.21371,2.22195,2.22195,2.02761,0.995564,1.45436,0.416031,1.22637,0.581496,2.13881,2.39494,2.39494,2.05641,0.925275,0.600764,0.462495
2014_Sep_17_18_39_23,http://www.youtube.com/watch?v=uoyDa8pqSxU,0.192736,12.3546,0.890923,1.24381,0.349596,0.708127,2.36787,2.41876,2.41876,2.25629,0.868077,2.87633,0.71536,0.567515,0.884811,2.19309,2.39011,2.39011,2.13931,0.885475,0.851423,0.489555
2014_Sep_17_18_39_24,http://www.youtube.com/watch?v=7zk8K4YgZto,0.513671,9.91623,0.142698,1.8166,0.853433,0.792006,2.56563,2.4185,2.56563,2.34879,0.831675,1.74049,0.877942,1.05294,0.522965,2.24865,2.39011,2.39011,2.15713,0.862524,0.340182,0.494782
2014_Sep_17_18_39_25,http://www.youtube.com/watch?v=xvz9LplSZ9w,0.263912,11.6499,0.438146,1.01932,0.670547,0.712819,2.42423,2.41957,2.42423,2.28179,0.854471,1.72666,0.432155,0.915746,0.52716,2.19429,2.39053,2.39053,2.14486,0.881315,0.320691,0.498456
2014_Sep_17_18_39_26,http://www.youtube.com/watch?v=Cxqyop66foo,0.348874,9.01798,0.408857,1.44321,0.36776,0.829434,2.54767,2.45276,2.54767,2.40812,0.946616,3.32703,0.91059,0.390294,0.617521,2.42035,2.38657,2.42035,2.29459,0.943598,0.818963,0.495764
2014_Sep_17_18_39_27,http://www.youtube.com/watch?v=GkhKIkFQZfE,0.732667,4.53217,0.276247,0.643483,0.454362,0.77278,2.38033,2.45653,2.45653,2.21971,0.900798,2.28211,0.374531,0.452338,0.580807,2.21459,2.38863,2.38863,2.155,0.902222,0.698991,0.491302
2014_Sep_17_18_39_28,http://www.youtube.com/watch?v=robHwWU6zXA,0.625374,6.77268,0.179011,0.700373,0.611296,0.73633,2.38093,2.45653,2.45653,2.20364,0.903741,2.00879,0.287101,0.00857251,0.664444,2.21282,2.38863,2.38863,2.13569,0.904893,0.370956,0.497124
2014_Sep_17_18_39_29,http://www.youtube.com/watch?v=t7IBHY1VHyA,0.526009,8.9606,0.309711,0.481644,0.281682,3.15648,1.83556,1.84731,1.84731,1.68929,0.969551,1.69516,0.459333,0.273204,0.582772,1.89519,1.93105,1.93105,1.80398,0.983066,0.842909,0.499294
2014_Sep_17_18_39_30,http://www.youtube.com/watch?v=G59jaDqGKqc,0.430116,12.7107,0.499883,1.45911,0.306318,1.50061,0.614878,0.184945,0.614878,0.291089,0.478235,5.30173,1.07612,0.511879,0.550873,0.713665,0.416771,0.713665,0.48539,0.62781,0.600676,0.489705
2014_Sep_17_18_39_31,http://www.youtube.com/watch?v=Nw4veSupc2Y,0.923548,6.01704,0.15721,0.88642,0.820306,0.513984,0.33182,0.201814,0.33182,0.186614,0.32003,1.49572,0.247099,0.33134,0.586845,0.340274,0.416277,0.416277,0.280862,0.552245,0.0883728,0.489705
2014_Sep_17_18_39_32,http://www.youtube.com/watch?v=g6jWC0lhiPk,0.881988,6.78571,0.169007,0.867823,0.732943,0.597645,0.33153,0.191353,0.33153,0.180625,0.31835,1.18347,0.302354,0.828701,0.577603,0.379241,0.416181,0.416181,0.303536,0.593978,0.117145,0.489705
2014_Sep_17_18_39_33,http://www.youtube.com/watch?v=uYhftRE_J3Y,0.258367,6.23436,0.271641,0.69021,0.511072,1.0243,0.254935,0.192152,0.254935,0.159278,0.350462,1.92036,0.545267,0.247565,0.583082,0.306921,0.393108,0.393108,0.2045,0.459237,1.36117,0.495142
2014_Sep_17_18_39_34,http://www.youtube.com/watch?v=KWuqd-rmaQY,0.855274,6.84774,0.115057,0.765957,0.772919,0.53987,0.288127,0.192152,0.288127,0.192007,0.410456,1.02787,0.518873,1.11308,0.707958,0.306396,0.350139,0.350139,0.114271,0.260744,0.348866,0.490947
2014_Sep_17_18_39_35,http://www.youtube.com/watch?v=03d1IeU5epQ,0.911345,5.79719,0.177602,0.642128,0.421024,0.614423,0.264659,0.192152,0.264659,0.155533,0.332743,3.01024,0.579109,1.55982,0.658779,0.306384,0.336463,0.336463,0.132757,0.24887,0.987897,0.498357
2014_Sep_17_18_39_36,http://www.youtube.com/watch?v=VWQGbZfcVUU,0.284432,7.84873,0.519506,0.736084,0.193123,0.833202,0.243742,0.302937,0.302937,0.181991,0.440915,3.88618,0.442767,0.3294,0.597597,0.403447,0.431594,0.431594,0.308796,0.619787,0.914895,0.496574
2014_Sep_17_18_39_37,http://www.youtube.com/watch?v=OcOhThF_Vsg,0.641034,6.97842,0.432516,0.939476,0.770182,0.82248,0.343499,0.302712,0.343499,0.20173,0.480179,2.01538,0.657552,0.956417,0.615178,0.517818,0.441487,0.517818,0.378482,0.694683,0.590994,0.472906
2014_Sep_17_18_39_38,http://www.youtube.com/watch?v=SXiOO3wQsrs,0.61301,9.4179,0.268178,1.65977,0.830868,0.860108,0.593992,0.299779,0.593992,0.366727,0.589619,1.62312,0.932385,0.97265,0.621487,0.624469,0.453588,0.624469,0.387097,0.658918,0.692835,0.483598
