traj_id,url,smoothness,path_length,max_acc,r_wrist_roll_link_length,r_wrist_roll_link_smoothness,r_wrist_roll_link_max_curvature,r_wrist_roll_link_h_traj_line,r_wrist_roll_link_h_line_traj,r_wrist_roll_link_H_traj_line,r_wrist_roll_link_imh_traj_line,r_wrist_roll_link_DTW,r_wrist_roll_link_lin_acc,r_elbow_flex_link_length,r_elbow_flex_link_smoothness,r_elbow_flex_link_max_curvature,r_elbow_flex_link_h_traj_line,r_elbow_flex_link_h_line_traj,r_elbow_flex_link_H_traj_line,r_elbow_flex_link_imh_traj_line,r_elbow_flex_link_DTW,r_elbow_flex_link_lin_acc,maxmin_joint_limit_distance
2014_Sep_17_18_39_57,http://www.youtube.com/watch?v=52u9f6unLoE,0.576838,12.6966,0.551973,1.00301,0.178442,0.611708,12.3562,12.2312,12.3562,12.2806,0.971842,2.39762,0.284453,0.390461,0.63103,12.4723,12.5408,12.5408,12.4438,0.976644,0.233594,0.491965
2014_Sep_17_18_39_58,http://www.youtube.com/watch?v=xjNjQ9iKxfQ,0.478173,13.473,0.273574,1.68285,0.486975,0.561587,12.4097,12.2156,12.4097,12.2676,0.971368,1.3486,0.500679,0.569934,0.519693,12.4841,12.4983,12.4983,12.376,0.971961,0.450444,0.493166
2014_Sep_17_18_39_59,http://www.youtube.com/watch?v=rmkzeOV5xaM,0.681475,10.8796,0.23853,1.09833,0.539701,0.473696,12.3365,12.2272,12.3365,12.1937,0.960742,2.47209,0.30148,1.14479,0.58867,12.4417,12.5405,12.5405,12.3539,0.965388,0.104796,0.496324
2014_Sep_17_18_40_00,http://www.youtube.com/watch?v=F8CXqJDJl5E,0.212444,10.3877,1.10126,0.749803,0.274119,0.51042,12.7432,12.6941,12.7432,12.6605,0.97082,1.45667,0.262256,0.152031,0.63724,13.0568,12.9586,13.0568,12.9101,0.966107,0.684761,0.498207
2014_Sep_17_18_40_01,http://www.youtube.com/watch?v=Zes_FPJUV0A,0.476862,9.02272,0.533867,0.55408,0.525663,0.680044,12.7423,12.6796,12.7423,12.6285,0.964835,0.775786,0.269375,0.410567,0.643874,13.0559,12.9616,13.0559,12.9201,0.963437,0.298371,0.496888
2014_Sep_17_18_40_02,http://www.youtube.com/watch?v=z1FlhVb01QM,0.439656,7.577,0.149065,0.971305,0.954008,1.03262,12.7437,12.5383,12.7437,12.5408,0.952442,2.37732,0.629054,1.16862,0.620402,13.0572,12.7913,13.0572,12.8359,0.95151,0.389281,0.466674
2014_Sep_17_18_40_03,http://www.youtube.com/watch?v=7E1Yg0Cpx1Y,0.221077,13.0224,0.481221,0.853908,0.363351,0.649675,13.3781,13.14,13.3781,13.1988,0.970874,2.14256,0.532372,0.15145,0.504897,13.4171,13.4102,13.4171,13.3072,0.976005,0.412763,0.461749
2014_Sep_17_18_40_04,http://www.youtube.com/watch?v=AGarIc4jy5Y,0.422819,7.44047,0.316424,0.806001,1.00069,1.24298,13.2574,13.14,13.2574,13.0894,0.956981,0.830976,0.287351,0.123307,0.617027,13.4175,13.4102,13.4175,13.3021,0.960847,0.159369,0.350836
2014_Sep_17_18_40_05,http://www.youtube.com/watch?v=R-9TEdK_fxU,0.410568,6.28043,0.535489,0.684567,0.940623,2.97299,13.1915,13.14,13.1915,13.1166,0.958133,1.13286,0.299301,0.271669,0.602093,13.4167,13.4102,13.4167,13.3713,0.960437,0.443558,0.355678
2014_Sep_17_18_40_06,http://www.youtube.com/watch?v=_k3CawUIV40,0.632176,36.8221,0.921825,4.20633,0.780388,0.675677,12.9504,12.567,12.9504,12.5106,0.932766,3.38861,2.37745,0.829656,0.54763,12.8149,12.8867,12.8867,12.6238,0.950368,0.984759,0.499586
