traj_id,url,clearance,smoothness,path_length,max_acc,maxmin_joint_limit_distance,elbow_length,elbow_smoothness,elbow_max_curvature,elbow_lin_acc,elbow_quat_dist,tool_length,tool_smoothness,tool_max_curvature,tool_lin_acc,tool_quat_dist,wrist_length,wrist_smoothness,wrist_max_curvature,wrist_lin_acc,wrist_quat_dist,h_wrist_bfs,h_bfs_wrist,H_wrist_bfs,imh_wrist_bfs,h_elbow_bfs,h_bfs_elbow,H_elbow_bfs,imh_elbow_bfs,h_tool_bfs,h_bfs_tool,H_tool_bfs,imh_tool_bfs,h_wrist_elbow,h_elbow_wrist,H_wrist_elbow,imh_wrist_elbow,wrist_bfs_dtw,tool_bfs_dtw,elbow_bfs_dtw,wrist_tool_dtw
2014_Sep_17_18_38_55,http://www.youtube.com/watch?v=7lNf-qvsGb8,0.0197954,6.21725e-16,1.93872,0.682494,0.489462,0.168751,0.00529786,0.587741,1.75695,0.380197,0.315059,0.0111476,0.741879,7.04252,0.605143,0.263972,0.00537498,0.918123,4.23337,0.605143,0.180842,0.19875,0.19875,0.148063,0.430389,0.481355,0.481355,0.396797,0.0590589,0.0553289,0.0590589,0.0655207,0.321,0.321,0.321,0.285109,1.52064,0.342321,4.07226,1.62
2014_Sep_17_18_38_56,http://www.youtube.com/watch?v=_42KB11RYDM,0.0198621,2.66454e-16,1.91933,0.552388,0.490775,0.16847,0.00527521,0.587694,1.44791,0.380272,0.316835,0.0111408,0.747374,5.86726,0.608033,0.263784,0.00536491,0.917746,3.49524,0.608033,0.18105,0.19875,0.19875,0.148163,0.430118,0.481355,0.481355,0.396687,0.0580722,0.054594,0.0580722,0.0655349,0.321,0.321,0.321,0.285314,1.51231,0.345761,4.0613,1.62
2014_Sep_17_18_38_57,http://www.youtube.com/watch?v=TVv9ObLSVno,0.0200931,6.21725e-16,1.90992,0.550262,0.487842,0.169815,0.00536592,0.581451,1.47802,0.378337,0.315417,0.0109499,0.742093,5.84343,0.593655,0.264383,0.00539344,0.90797,3.53118,0.593655,0.182172,0.19875,0.19875,0.148784,0.4312,0.481355,0.481355,0.397196,0.0562016,0.0537327,0.0562016,0.0650041,0.321,0.321,0.321,0.284733,1.51663,0.340488,4.06484,1.62
2014_Sep_17_18_38_58,http://www.youtube.com/watch?v=N1DBCn3mTjg,0.114577,0.0963375,12.6991,1.05958,0.496748,0.768512,0.121527,0.519925,1.85108,3.8286,1.88651,0.302222,1.09473,6.61849,3.47412,1.79538,0.218101,0.74202,5.8553,3.47412,0.766196,0.344362,0.766196,0.480883,0.589567,0.500341,0.589567,0.497841,0.678843,0.333452,0.678843,0.444729,0.321,0.321,0.321,0.290843,24.9248,22.2131,26.4741,7.29794
2014_Sep_17_18_38_59,http://www.youtube.com/watch?v=20JLLLNDK6A,0.0716781,0.158759,11.3097,1.09637,0.462495,0.604894,0.416308,0.502618,1.89743,2.95246,1.65698,0.422413,1.18551,4.32939,6.7552,1.25092,0.42687,0.803825,3.37231,6.7552,0.500919,0.273486,0.500919,0.265858,0.53712,0.476967,0.53712,0.399277,0.611883,0.305588,0.611883,0.277058,0.321,0.321,0.321,0.255632,13.3553,12.42,20.8321,6.86186
2014_Sep_17_18_39_00,http://www.youtube.com/watch?v=rcvm-UERshg,0.0711522,0.237971,11.7675,2.14287,0.498244,0.684147,0.23886,0.504563,1.39506,1.97211,1.49868,0.461958,1.14866,3.73177,6.79323,1.2454,0.207793,0.791545,5.48898,6.79323,0.406588,0.34383,0.406588,0.283697,0.530115,0.500304,0.530115,0.407876,0.384721,0.331817,0.384721,0.254296,0.321,0.321,0.321,0.299833,14.4909,11.8738,21.3697,5.88174
2014_Sep_17_18_39_01,http://www.youtube.com/watch?v=z8KFm1jQ5Dw,0.116764,0.0449361,13.6716,0.962403,0.476836,0.765345,0.0391674,0.56741,1.17938,2.44619,1.92141,0.10676,1.25454,19.2628,5.65766,1.42799,0.0703903,0.816538,7.43744,5.65766,0.325237,0.310474,0.325237,0.233775,0.430277,0.484143,0.484143,0.306361,0.496798,0.330391,0.496798,0.300809,0.321,0.321,0.321,0.306421,13.7917,16.9672,17.4842,9.33486
2014_Sep_17_18_39_03,http://www.youtube.com/watch?v=egAkSBskKAE,0.104858,0.221026,8.3021,0.298978,0.455957,0.982161,0.390453,0.582614,1.35419,2.20444,1.87685,0.40676,1.04898,7.02023,3.32442,1.6137,0.359144,0.872948,4.30144,3.32442,0.440409,0.301653,0.440409,0.250834,0.430305,0.483798,0.483798,0.341509,0.486777,0.330871,0.486777,0.247658,0.321,0.321,0.321,0.320332,8.83143,8.57103,11.9226,5.25403
2014_Sep_17_18_39_04,http://www.youtube.com/watch?v=kqE4EnBNM1Q,0.13227,0.224197,8.88797,0.258598,0.456567,1.4125,0.594766,0.593402,1.52654,3.13733,2.73308,0.624254,1.08753,6.85121,3.77422,2.31327,0.561044,0.887167,5.11103,3.77422,0.824873,0.394984,0.824873,0.444709,0.678709,0.489537,0.678709,0.457849,0.878623,0.409976,0.878623,0.452107,0.321,0.321,0.321,0.330113,16.6501,16.2897,16.9987,6.12
2014_Sep_17_18_39_05,http://www.youtube.com/watch?v=mQAW6rUUXsQ,0.0918391,0.931972,15.4969,0.843715,0.494573,0.96958,0.922966,0.627066,2.39775,4.44486,2.80744,1.28211,1.97023,16.3654,7.70001,2.20359,0.949561,0.876414,13.6529,7.70001,0.656259,0.256394,0.656259,0.340611,0.553809,0.455072,0.553809,0.396913,0.679216,0.274098,0.679216,0.309732,0.321,0.321,0.321,0.296152,24.8497,21.5648,32.4799,10.523
