Rank,10,9,8,7,6,5,4,3,2,1
h_wrist_bfs,2014_Sep_17_18_40_01,2014_Sep_17_18_39_29,2014_Sep_17_18_39_35,2014_Sep_17_18_39_36,2014_Sep_17_18_38_46,2014_Sep_17_18_38_57,2014_Sep_17_18_38_56,2014_Sep_17_18_38_55,2014_Sep_17_18_40_07,2014_Sep_17_18_38_43
h_bfs_wrist,2014_Sep_17_18_39_23,2014_Sep_17_18_39_23,2014_Sep_17_18_39_23,2014_Sep_17_18_38_53,2014_Sep_17_18_40_02,2014_Sep_17_18_39_30,2014_Sep_17_18_38_43,2014_Sep_17_18_40_06,2014_Sep_17_18_39_37,2014_Sep_17_18_40_07
H_wrist_bfs,2014_Sep_17_18_40_01,2014_Sep_17_18_39_29,2014_Sep_17_18_39_35,2014_Sep_17_18_39_36,2014_Sep_17_18_38_46,2014_Sep_17_18_38_55,2014_Sep_17_18_38_55,2014_Sep_17_18_38_55,2014_Sep_17_18_40_07,2014_Sep_17_18_38_43
imh_wrist_bfs,2014_Sep_17_18_39_33,2014_Sep_17_18_39_35,2014_Sep_17_18_38_57,2014_Sep_17_18_38_56,2014_Sep_17_18_38_55,2014_Sep_17_18_38_44,2014_Sep_17_18_38_49,2014_Sep_17_18_38_46,2014_Sep_17_18_38_43,2014_Sep_17_18_40_07
h_elbow_bfs,2014_Sep_17_18_39_35,2014_Sep_17_18_39_34,2014_Sep_17_18_39_32,2014_Sep_17_18_39_57,2014_Sep_17_18_39_51,2014_Sep_17_18_39_31,2014_Sep_17_18_38_41,2014_Sep_17_18_38_42,2014_Sep_17_18_39_59,2014_Sep_17_18_39_49
h_bfs_elbow,2014_Sep_17_18_38_40,2014_Sep_17_18_40_18,2014_Sep_17_18_40_21,2014_Sep_17_18_40_20,2014_Sep_17_18_39_48,2014_Sep_17_18_39_42,2014_Sep_17_18_40_19,2014_Sep_17_18_39_34,2014_Sep_17_18_39_35,2014_Sep_17_18_40_12
H_elbow_bfs,2014_Sep_17_18_39_32,2014_Sep_17_18_39_59,2014_Sep_17_18_39_48,2014_Sep_17_18_39_48,2014_Sep_17_18_39_25,2014_Sep_17_18_39_33,2014_Sep_17_18_39_35,2014_Sep_17_18_39_34,2014_Sep_17_18_38_41,2014_Sep_17_18_38_41
imh_elbow_bfs,2014_Sep_17_18_38_40,2014_Sep_17_18_40_08,2014_Sep_17_18_39_51,2014_Sep_17_18_39_35,2014_Sep_17_18_38_41,2014_Sep_17_18_39_48,2014_Sep_17_18_39_34,2014_Sep_17_18_39_56,2014_Sep_17_18_38_42,2014_Sep_17_18_40_07
h_tool_bfs,2014_Sep_17_18_39_29,2014_Sep_17_18_38_43,2014_Sep_17_18_39_33,2014_Sep_17_18_39_25,2014_Sep_17_18_39_28,2014_Sep_17_18_39_27,2014_Sep_17_18_39_36,2014_Sep_17_18_38_55,2014_Sep_17_18_38_56,2014_Sep_17_18_38_57
h_bfs_tool,2014_Sep_17_18_39_30,2014_Sep_17_18_40_01,2014_Sep_17_18_40_00,2014_Sep_17_18_40_02,2014_Sep_17_18_39_36,2014_Sep_17_18_40_18,2014_Sep_17_18_39_53,2014_Sep_17_18_38_55,2014_Sep_17_18_38_56,2014_Sep_17_18_38_57
H_tool_bfs,2014_Sep_17_18_39_29,2014_Sep_17_18_38_43,2014_Sep_17_18_39_33,2014_Sep_17_18_39_25,2014_Sep_17_18_39_28,2014_Sep_17_18_39_27,2014_Sep_17_18_39_36,2014_Sep_17_18_38_55,2014_Sep_17_18_38_56,2014_Sep_17_18_38_57
imh_tool_bfs,2014_Sep_17_18_39_53,2014_Sep_17_18_39_37,2014_Sep_17_18_39_33,2014_Sep_17_18_39_25,2014_Sep_17_18_39_28,2014_Sep_17_18_38_49,2014_Sep_17_18_38_56,2014_Sep_17_18_38_55,2014_Sep_17_18_38_57,2014_Sep_17_18_39_36
h_wrist_elbow,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_40_01,2014_Sep_17_18_40_00,2014_Sep_17_18_39_34
h_elbow_wrist,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_40_03,2014_Sep_17_18_39_50
H_wrist_elbow,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40
imh_wrist_elbow,2014_Sep_17_18_39_43,2014_Sep_17_18_40_05,2014_Sep_17_18_39_55,2014_Sep_17_18_39_36,2014_Sep_17_18_40_16,2014_Sep_17_18_40_06,2014_Sep_17_18_39_37,2014_Sep_17_18_40_07,2014_Sep_17_18_39_33,2014_Sep_17_18_40_15
wrist_bfs_dtw,2014_Sep_17_18_39_41,2014_Sep_17_18_39_35,2014_Sep_17_18_39_33,2014_Sep_17_18_38_42,2014_Sep_17_18_39_27,2014_Sep_17_18_38_46,2014_Sep_17_18_38_41,2014_Sep_17_18_38_55,2014_Sep_17_18_38_57,2014_Sep_17_18_38_56
tool_bfs_dtw,2014_Sep_17_18_38_41,2014_Sep_17_18_38_46,2014_Sep_17_18_39_28,2014_Sep_17_18_39_37,2014_Sep_17_18_39_33,2014_Sep_17_18_39_27,2014_Sep_17_18_39_36,2014_Sep_17_18_38_56,2014_Sep_17_18_38_55,2014_Sep_17_18_38_57
elbow_bfs_dtw,2014_Sep_17_18_38_46,2014_Sep_17_18_39_27,2014_Sep_17_18_39_41,2014_Sep_17_18_38_42,2014_Sep_17_18_39_34,2014_Sep_17_18_39_35,2014_Sep_17_18_38_41,2014_Sep_17_18_38_55,2014_Sep_17_18_38_57,2014_Sep_17_18_38_56
wrist_tool_dtw,2014_Sep_17_18_39_37,2014_Sep_17_18_39_33,2014_Sep_17_18_38_46,2014_Sep_17_18_39_44,2014_Sep_17_18_39_41,2014_Sep_17_18_39_27,2014_Sep_17_18_38_41,2014_Sep_17_18_38_55,2014_Sep_17_18_38_55,2014_Sep_17_18_38_55
