Rank,1,2,3,4,5,6,7,8,9,10
h_wrist_bfs,2014_Sep_17_18_39_11,2014_Sep_17_18_39_42,2014_Sep_17_18_39_10,2014_Sep_17_18_39_04,2014_Sep_17_18_39_17,2014_Sep_17_18_40_10,2014_Sep_17_18_38_58,2014_Sep_17_18_39_24,2014_Sep_17_18_39_26,2014_Sep_17_18_40_12
h_bfs_wrist,2014_Sep_17_18_40_10,2014_Sep_17_18_40_11,2014_Sep_17_18_39_04,2014_Sep_17_18_40_21,2014_Sep_17_18_40_22,2014_Sep_17_18_40_23,2014_Sep_17_18_39_40,2014_Sep_17_18_40_17,2014_Sep_17_18_40_16,2014_Sep_17_18_40_12
H_wrist_bfs,2014_Sep_17_18_39_11,2014_Sep_17_18_39_42,2014_Sep_17_18_39_10,2014_Sep_17_18_39_04,2014_Sep_17_18_39_17,2014_Sep_17_18_40_10,2014_Sep_17_18_38_58,2014_Sep_17_18_39_24,2014_Sep_17_18_39_26,2014_Sep_17_18_40_12
imh_wrist_bfs,2014_Sep_17_18_39_11,2014_Sep_17_18_39_17,2014_Sep_17_18_38_58,2014_Sep_17_18_39_10,2014_Sep_17_18_39_26,2014_Sep_17_18_39_58,2014_Sep_17_18_39_04,2014_Sep_17_18_39_21,2014_Sep_17_18_40_09,2014_Sep_17_18_40_11
h_elbow_bfs,2014_Sep_17_18_39_42,2014_Sep_17_18_39_17,2014_Sep_17_18_39_30,2014_Sep_17_18_39_11,2014_Sep_17_18_39_55,2014_Sep_17_18_39_07,2014_Sep_17_18_38_47,2014_Sep_17_18_39_19,2014_Sep_17_18_38_51,2014_Sep_17_18_39_26
h_bfs_elbow,2014_Sep_17_18_39_27,2014_Sep_17_18_39_19,2014_Sep_17_18_39_18,2014_Sep_17_18_39_11,2014_Sep_17_18_38_58,2014_Sep_17_18_39_00,2014_Sep_17_18_39_13,2014_Sep_17_18_39_17,2014_Sep_17_18_39_22,2014_Sep_17_18_39_10
H_elbow_bfs,2014_Sep_17_18_39_42,2014_Sep_17_18_39_17,2014_Sep_17_18_39_30,2014_Sep_17_18_39_11,2014_Sep_17_18_39_55,2014_Sep_17_18_39_07,2014_Sep_17_18_38_47,2014_Sep_17_18_39_19,2014_Sep_17_18_38_51,2014_Sep_17_18_39_26
imh_elbow_bfs,2014_Sep_17_18_39_19,2014_Sep_17_18_39_55,2014_Sep_17_18_39_11,2014_Sep_17_18_39_47,2014_Sep_17_18_39_42,2014_Sep_17_18_39_21,2014_Sep_17_18_39_30,2014_Sep_17_18_39_26,2014_Sep_17_18_38_47,2014_Sep_17_18_39_43
h_tool_bfs,2014_Sep_17_18_39_11,2014_Sep_17_18_39_42,2014_Sep_17_18_39_04,2014_Sep_17_18_40_12,2014_Sep_17_18_39_10,2014_Sep_17_18_40_10,2014_Sep_17_18_39_17,2014_Sep_17_18_39_58,2014_Sep_17_18_39_26,2014_Sep_17_18_39_24
h_bfs_tool,2014_Sep_17_18_40_11,2014_Sep_17_18_40_10,2014_Sep_17_18_39_04,2014_Sep_17_18_39_50,2014_Sep_17_18_39_49,2014_Sep_17_18_39_40,2014_Sep_17_18_40_21,2014_Sep_17_18_40_22,2014_Sep_17_18_38_58,2014_Sep_17_18_39_09
H_tool_bfs,2014_Sep_17_18_39_11,2014_Sep_17_18_39_42,2014_Sep_17_18_39_04,2014_Sep_17_18_40_12,2014_Sep_17_18_39_10,2014_Sep_17_18_40_10,2014_Sep_17_18_39_17,2014_Sep_17_18_39_58,2014_Sep_17_18_39_26,2014_Sep_17_18_39_24
imh_tool_bfs,2014_Sep_17_18_39_17,2014_Sep_17_18_39_11,2014_Sep_17_18_39_58,2014_Sep_17_18_39_04,2014_Sep_17_18_38_58,2014_Sep_17_18_40_11,2014_Sep_17_18_39_26,2014_Sep_17_18_39_10,2014_Sep_17_18_39_42,2014_Sep_17_18_39_46
h_wrist_elbow,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40
h_elbow_wrist,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40
H_wrist_elbow,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40,2014_Sep_17_18_38_40
imh_wrist_elbow,2014_Sep_17_18_39_04,2014_Sep_17_18_39_15,2014_Sep_17_18_39_21,2014_Sep_17_18_39_10,2014_Sep_17_18_39_13,2014_Sep_17_18_39_03,2014_Sep_17_18_39_09,2014_Sep_17_18_39_18,2014_Sep_17_18_39_27,2014_Sep_17_18_39_49
wrist_bfs_dtw,2014_Sep_17_18_40_09,2014_Sep_17_18_39_17,2014_Sep_17_18_39_42,2014_Sep_17_18_40_06,2014_Sep_17_18_40_21,2014_Sep_17_18_40_18,2014_Sep_17_18_40_12,2014_Sep_17_18_39_52,2014_Sep_17_18_39_11,2014_Sep_17_18_40_22
tool_bfs_dtw,2014_Sep_17_18_40_09,2014_Sep_17_18_39_17,2014_Sep_17_18_39_42,2014_Sep_17_18_40_06,2014_Sep_17_18_40_21,2014_Sep_17_18_40_12,2014_Sep_17_18_40_18,2014_Sep_17_18_39_52,2014_Sep_17_18_39_11,2014_Sep_17_18_39_51
elbow_bfs_dtw,2014_Sep_17_18_40_09,2014_Sep_17_18_39_17,2014_Sep_17_18_40_06,2014_Sep_17_18_39_42,2014_Sep_17_18_39_52,2014_Sep_17_18_40_12,2014_Sep_17_18_40_21,2014_Sep_17_18_40_18,2014_Sep_17_18_38_49,2014_Sep_17_18_38_47
wrist_tool_dtw,2014_Sep_17_18_40_09,2014_Sep_17_18_39_17,2014_Sep_17_18_40_06,2014_Sep_17_18_39_42,2014_Sep_17_18_40_18,2014_Sep_17_18_39_52,2014_Sep_17_18_40_12,2014_Sep_17_18_38_49,2014_Sep_17_18_40_21,2014_Sep_17_18_39_51
